zip_code,latitude,longitude,city,state,county
72044,35.632128,-92.157022,Edgemont,AR,Cleburne
72045,35.128619,-92.043231,El Paso,AR,White
72046,34.759526,-91.846164,England,AR,Lonoke
72047,35.230211,-92.202242,Enola,AR,Faulkner
72048,34.298173,-91.1484,Ethel,AR,Arkansas
72051,35.91896,-92.127207,Fox,AR,Stone
72052,35.144271,-91.77722,Garner,AR,White
72053,34.709342,-92.228271,College Station,AR,Pulaski
72055,34.126257,-91.347993,Gillett,AR,Arkansas
72057,34.152591,-92.304314,Grapevine,AR,Grant
72058,35.211744,-92.376242,Greenbrier,AR,Faulkner
72059,35.179148,-91.259428,Gregory,AR,Woodruff
72060,35.113187,-91.606092,Griffithville,AR,White
72061,35.322662,-92.334843,Guy,AR,Faulkner
72063,35.318809,-92.67533,Hattieville,AR,Conway
72064,34.782306,-91.569612,Hazen,AR,Prairie
72065,34.520167,-92.205503,Hensley,AR,Pulaski
72066,34.785525,-91.573785,Hickory Plains,AR,Prairie
72067,35.568521,-92.134082,Higden,AR,Cleburne
72068,35.152032,-91.710779,Higginson,AR,White
72069,34.598059,-91.183945,Holly Grove,AR,Monroe
72070,35.055779,-92.692323,Houston,AR,Perry
72071,35.179148,-91.259428,Howell,AR,Woodruff
72072,34.757194,-91.833442,Humnoke,AR,Lonoke
72073,34.374078,-91.638613,Humphrey,AR,Jefferson
72074,35.179148,-91.259428,Hunter,AR,Woodruff
72075,35.641406,-91.307189,Jacksonport,AR,Jackson
72076,34.918774,-92.15149,Jacksonville,AR,Pulaski
72078,34.751918,-92.392487,Jacksonville,AR,Pulaski
72079,34.402504,-92.150644,Jefferson,AR,Jefferson
72080,35.427817,-92.819567,Jerusalem,AR,Conway
72081,35.39438,-91.758198,Judsonia,AR,White
72082,35.14574,-91.847466,Kensett,AR,White
72083,34.60737,-92.014365,Keo,AR,Lonoke
72084,34.218652,-92.613185,Leola,AR,Grant
72085,35.359669,-91.820426,Letona,AR,White
72086,34.81247,-91.905399,Lonoke,AR,Lonoke
72087,34.574419,-92.85784,Lonsdale,AR,Garland
72088,35.602704,-92.274195,Fairfield Bay,AR,Van Buren
72089,34.635041,-92.65974,Bryant,AR,Saline
72099,34.788014,-92.217343,Little Rock Air Force Base,AR,Pulaski
72101,35.259987,-91.219846,Mc Crory,AR,Woodruff
72102,35.246445,-91.848847,Mc Rae,AR,White
72103,34.647826,-92.384905,Mabelvale,AR,Pulaski
72104,34.36975,-92.839331,Malvern,AR,Hot Spring
72105,34.39588,-92.851558,Jones Mill,AR,Hot Spring
72106,34.963658,-92.423585,Mayflower,AR,Faulkner
72107,35.153852,-92.552168,Menifee,AR,Conway
72108,34.670187,-91.224126,Monroe,AR,Monroe
72110,35.169237,-92.817379,Morrilton,AR,Conway
72111,35.23159,-92.168875,Mount Vernon,AR,Faulkner
72112,35.569278,-91.203951,Newport,AR,Jackson
72113,34.857241,-92.390298,Maumelle,AR,Pulaski
72114,34.766561,-92.262899,North Little Rock,AR,Pulaski
72115,34.751918,-92.392487,North Little Rock,AR,Pulaski
72116,34.805945,-92.230488,North Little Rock,AR,Pulaski
72117,34.765751,-92.152405,North Little Rock,AR,Pulaski
72118,34.833714,-92.3289,North Little Rock,AR,Pulaski
72119,34.80165,-92.259781,North Little Rock,AR,Pulaski
72120,34.880689,-92.230285,Sherwood,AR,Pulaski
72121,35.329969,-91.652684,Pangburn,AR,White
72122,34.738557,-92.785514,Paron,AR,Saline
72123,35.25881,-91.236983,Patterson,AR,Woodruff
72124,34.751918,-92.392487,North Little Rock,AR,Pulaski
72125,35.044346,-92.795821,Perry,AR,Perry
72126,35.025904,-92.786535,Perryville,AR,Perry
72127,35.15351,-92.662307,Plumerville,AR,Conway
72128,34.3023,-92.609528,Poyen,AR,Grant
72129,34.31491,-92.539414,Prattsville,AR,Grant
72130,35.667434,-92.093319,Prim,AR,Cleburne
72131,35.449492,-92.151804,Quitman,AR,Cleburne
72132,34.436424,-92.150356,Redfield,AR,Jefferson
72133,34.210031,-91.673115,Reydell,AR,Jefferson
72134,34.670187,-91.224126,Roe,AR,Monroe
72135,34.87923,-92.572248,Roland,AR,Pulaski
72136,35.235771,-92.014311,Romance,AR,White
72137,35.281826,-91.855634,Rose Bud,AR,White
72139,35.356592,-91.495392,Russell,AR,White
72140,34.337186,-91.139284,Saint Charles,AR,Arkansas
72141,35.57727,-92.545572,Scotland,AR,Van Buren
72142,34.670904,-92.152336,Scott,AR,Pulaski
72143,35.243622,-91.731729,Searcy,AR,White
72145,35.277393,-91.732556,Searcy,AR,White
72149,35.247376,-91.73139,Searcy,AR,White
72150,34.306936,-92.398709,Sheridan,AR,Grant
72152,34.363527,-91.927642,Sherrill,AR,Jefferson
72153,35.61711,-92.262595,Shirley,AR,Van Buren
72156,35.267859,-92.673551,Solgohachia,AR,Conway
72157,35.244463,-92.614982,Springfield,AR,Conway
72158,34.635041,-92.65974,Benton,AR,Saline
72160,34.387577,-91.419955,Stuttgart,AR,Arkansas
72164,34.687292,-92.2399,Sweet Home,AR,Pulaski
72165,35.576231,-91.453861,Thida,AR,Independence
72166,34.079836,-91.227608,Tichnor,AR,Arkansas
72167,34.469233,-92.658212,Traskwood,AR,Saline
72168,34.431352,-91.96546,Tucker,AR,Jefferson
72169,35.384449,-91.223248,Tupelo,AR,Jackson
72170,34.577224,-91.463319,Ulm,AR,Prairie
72173,35.104753,-92.228182,Vilonia,AR,Faulkner
72175,34.348461,-91.862772,Wabbaseka,AR,Jefferson
72176,34.988267,-91.905266,Ward,AR,Lonoke
72178,35.203213,-91.606367,West Point,AR,White
72179,35.510638,-91.864757,Wilburn,AR,Cleburne
72180,34.533557,-92.221807,Woodson,AR,Pulaski
72181,35.187728,-92.449953,Wooster,AR,Faulkner
72182,34.429059,-92.059863,Wright,AR,Jefferson
72183,34.751918,-92.392487,Wrightsville,AR,Pulaski
72189,35.179148,-91.259428,Mc Crory,AR,Woodruff
72190,34.751918,-92.392487,North Little Rock,AR,Pulaski
72199,34.827174,-92.284718,North Little Rock,AR,Pulaski
72201,34.755998,-92.284832,Little Rock,AR,Pulaski
72202,34.752299,-92.290419,Little Rock,AR,Pulaski
72203,34.883484,-92.390766,Little Rock,AR,Pulaski
72204,34.711026,-92.297304,Little Rock,AR,Pulaski
72205,34.742911,-92.346652,Little Rock,AR,Pulaski
72206,34.624693,-92.29525,Little Rock,AR,Pulaski
72207,34.772646,-92.340152,Little Rock,AR,Pulaski
72209,34.674055,-92.368649,Little Rock,AR,Pulaski
72210,34.723533,-92.478032,Little Rock,AR,Pulaski
72211,34.783664,-92.430851,Little Rock,AR,Pulaski
72212,34.800793,-92.441752,Little Rock,AR,Pulaski
72214,34.762141,-92.228248,Little Rock,AR,Pulaski
72215,34.751918,-92.392487,Little Rock,AR,Pulaski
72216,34.817834,-92.235668,Little Rock,AR,Pulaski
72217,34.830158,-92.170174,Little Rock,AR,Pulaski
72219,34.751918,-92.392487,Little Rock,AR,Pulaski
72221,34.751918,-92.392487,Little Rock,AR,Pulaski
72222,34.751918,-92.392487,Little Rock,AR,Pulaski
72223,34.790155,-92.504359,Little Rock,AR,Pulaski
72225,34.751918,-92.392487,Little Rock,AR,Pulaski
72227,34.775747,-92.372386,Little Rock,AR,Pulaski
72231,34.80189,-92.189397,Little Rock,AR,Pulaski
72260,,,Little Rock,AR,Pulaski
72295,34.751918,-92.392487,Little Rock,AR,Pulaski
72301,35.210811,-90.203849,West Memphis,AR,Crittenden
72303,35.137366,-90.285543,West Memphis,AR,Crittenden
72310,35.852046,-89.972762,Armorel,AR,Mississippi
72311,34.719477,-90.89691,Aubrey,AR,Lee
72312,34.546696,-90.767879,Barton,AR,Phillips
72313,35.712249,-90.028429,Bassett,AR,Mississippi
72314,35.357184,-90.677331,Birdeye,AR,Cross
72315,35.754685,-89.926797,Blytheville,AR,Mississippi
72316,35.694942,-89.966819,Blytheville,AR,Mississippi
72319,35.694942,-89.966819,Gosnell,AR,Mississippi
72320,34.839836,-90.73371,Brickeys,AR,Lee
72321,35.816872,-89.944221,Burdette,AR,Mississippi
72322,35.08844,-90.81081,Caldwell,AR,Saint Francis
72324,35.340002,-90.788851,Cherry Valley,AR,Cross
72325,35.286354,-90.253781,Clarkedale,AR,Crittenden
72326,35.088055,-90.889489,Colt,AR,Saint Francis
72327,35.232042,-90.35832,Crawfordsville,AR,Crittenden
72328,34.382204,-90.82932,Crumrod,AR,Phillips
72329,35.635225,-89.978877,Driver,AR,Mississippi
72330,35.593098,-90.21404,Dyess,AR,Mississippi
72331,35.270213,-90.355335,Earle,AR,Crittenden
72332,35.119869,-90.304367,Edmondson,AR,Crittenden
72333,34.311793,-90.893927,Elaine,AR,Phillips
72335,35.026272,-90.859555,Forrest City,AR,Saint Francis
72336,35.100867,-90.726069,Forrest City,AR,Saint Francis
72338,35.459134,-90.188375,Frenchmans Bayou,AR,Mississippi
72339,35.405678,-90.27136,Gilmore,AR,Crittenden
72340,34.935798,-91.029194,Goodwin,AR,Saint Francis
72341,34.894534,-90.750779,Haynes,AR,Lee
72342,34.45192,-90.751249,Helena,AR,Phillips
72346,35.055842,-90.508034,Heth,AR,Saint Francis
